Manufacturer,Medication,GoodRx Price,Cost,Link,,,,,
Pfizer,AROMASIN® (exemestane) ,$28.49,$0.00,https://www.pfizeroncologytogether.com/patient/signup,,,,,https://www.pfizerpro.com/co-pay-cards-patient-savings-offers
Pfizer,BeneFIX® Coagulation Factor IX (Recombinant),"$13,722.00",$0.00,https://www.benefix.com/resources/financial-support,,,,,
Pfizer,CIBINQO™ (abrocitinib) tablets,"$5,993.00",$0.00,https://www.pfizerdermatologypatientaccess.com/patients/financial-support,,,,,
Pfizer,EUCRISA® (crisaborole) ointment 2%,$740.93,$10.00,https://www.pfizerdermatologypatientaccess.com/patients/financial-support,,,,,
Pfizer,LITFULO™ (ritlecitinib),"$4,300.00",$0.00,https://www.pfizerdermatologypatientaccess.com/patients/financial-support,,,,,
Pfizer,Duavee(conjugated estrogens/bazedoxifene),$99.00,$25.00,https://www.pfizermenopause.com/savings-card/#duavee,,,,,
Pfizer,Estring (estradiol vaginal system),$249.00,$25.00,https://www.pfizermenopause.com/savings-card/#estring,,,,,
Pfizer,"Premarin(conjugated estrogens tablets, USP)",$99.00,$25.00,https://www.pfizermenopause.com/savings-card/#premarin,,,,,
Pfizer,Premarin Vaginal Cream(conjugated estrogens),$249.00,$25.00,https://www.pfizermenopause.com/savings-card/#premarin-vaginal-cream,,,,,
Pfizer,Eliquis (apixaban),$637.37,$10.00,https://www.eliquis.bmscustomerconnect.com/registration?siteid=801&type,,,,,
Pfizer,Prevnar20,$292.00,$0.00,https://baby.prevnar20.com/resources-and-faqs,,,,,
Pfizer,VELSIPITY™ (etrasimod) tablets,"$6,509.00",$0.00,https://www.velsipity.com/sign-up,,,,,
Pfizer,PRISTIQ® (desvenlafaxine),$33.20,$4.00,https://pristiq.pfizerpro.com/savings-support/pristiq-savings-card,,,,,
Pfizer,PAXLOVID® (Nirmatrelvir/ritonavir),"$1,497.00",$0.00,https://www.paxlovid.com/enroll-in-co-pay-program,,,,,
Pfizer,Nurtec® ODT (rimegepant),"$1,063.00",$0.00,https://www.nurtec.com/savings,,,,,
Pfizer,ABRILADA™ (adalimumab-afzb),"$2,134.00",$0.00,https://www.pfizerencompass.com/hcp/adalimumab/copay-support,,,,,
Pfizer,BeneFIX® Coagulation Factor IX (Recombinant),"$14,272.00",,,,,,,
Pfizer,BOSULIF® (bosutinib) tablets,,$0.00,https://www.pfizeroncologytogether.com/hcp/patient-financial-assistance#co-pay-assistance,,,,,
Pfizer,BRAFTOVI® (encorafenib) 75 mg capsules,,,,,,,,
Pfizer,CIBINQO™ Abrocitinib,"$5,993.00",$0.00,https://www.pfizerdermatologypatientaccess.com/patients/financial-support,,,,,
Pfizer,"CUTAQUIG® Immune Globulin Subcutaneous (Human)-hipp, 16.5% solution",,$0.00,https://www.cutaquiginfo.com/support-and-resources.html,,,,,
Pfizer,DAURISMO™ (glasdegib) tablets,Limited Distribution Drug,,https://www.pfizeroncologytogether.com/patient,,,,,
